unused declarations: 21
Tests/converterTests/IntegrationTestSupport.swift:32:16 var.static projectRoot | unused
converter/Actions.swift:114:10 function.method.instance rankedFullRunImageCandidates() | unused
converter/AudioPipeline.swift:4:9 var.instance sourceIntegratedLUFS | assignOnlyProperty
converter/AudioPipeline.swift:7:9 var.instance maxSafeBoostDB | assignOnlyProperty
converter/ImagePipeline.swift:26:9 var.parameter filter | unused
converter/ImagePipeline.swift:27:9 var.parameter colorSpace | unused
converter/PipelineCore.swift:49:9 var.instance path | assignOnlyProperty
converter/PipelineCore.swift:50:9 var.instance sizeBytes | assignOnlyProperty
converter/PipelineCore.swift:51:9 var.instance modifiedAtMicros | assignOnlyProperty
converter/PipelineCore.swift:55:9 var.instance fingerprint | assignOnlyProperty
converter/PipelineCore.swift:56:9 var.instance selector | assignOnlyProperty
converter/PipelineCore.swift:57:9 var.instance entries | assignOnlyProperty
converter/PipelineCore.swift:61:9 var.instance fingerprint | assignOnlyProperty
converter/PipelineCore.swift:62:9 var.instance policy | assignOnlyProperty
converter/PipelineCore.swift:163:9 var.instance fourK | assignOnlyProperty
converter/PipelineCore.swift:164:9 var.instance threeK | assignOnlyProperty
converter/PipelineCore.swift:165:9 var.instance twoK | assignOnlyProperty
converter/PipelineCore.swift:186:9 var.instance source | assignOnlyProperty
converter/ProcessRunner.swift:78:9 var.instance fileManager | unused
converter/QualityReporting.swift:33:9 var.instance policy | assignOnlyProperty
converter/ValidationPipeline.swift:857:10 function.method.instance decodeAudioToCanonicalPCM(_:output:sampleRate:channels:) | unused
