Kind,Name,Modifiers,Attributes,Accessibility,IDs,Location,Hints
var.instance,sourceIntegratedLUFS,,,internal,s:9converter22LoudnessStaticGainPlanV20sourceIntegratedLUFSSdvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/AudioPipeline.swift:19:9,assignOnlyProperty
var.instance,maxSafeBoostDB,,,internal,s:9converter22LoudnessStaticGainPlanV14maxSafeBoostDBSdvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/AudioPipeline.swift:22:9,assignOnlyProperty
var.instance,path,,,internal,s:9converter20FileProbeFingerprintV4pathSSvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:49:9,assignOnlyProperty
var.instance,sizeBytes,,,internal,s:9converter20FileProbeFingerprintV9sizeBytess6UInt64Vvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:50:9,assignOnlyProperty
var.instance,modifiedAtMicros,,,internal,s:9converter20FileProbeFingerprintV16modifiedAtMicross5Int64Vvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:51:9,assignOnlyProperty
var.instance,fingerprint,,,internal,s:9converter15FFprobeCacheKeyV11fingerprintAA20FileProbeFingerprintVvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:55:9,assignOnlyProperty
var.instance,selector,,,internal,s:9converter15FFprobeCacheKeyV8selectorSSvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:56:9,assignOnlyProperty
var.instance,entries,,,internal,s:9converter15FFprobeCacheKeyV7entriesSSvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:57:9,assignOnlyProperty
var.instance,fingerprint,,,internal,s:9converter15AudioQCCacheKeyV11fingerprintAA20FileProbeFingerprintVvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:61:9,assignOnlyProperty
var.instance,policy,,,internal,s:9converter15AudioQCCacheKeyV6policyAA0B8QCPolicyVvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:62:9,assignOnlyProperty
var.instance,fourK,,,internal,s:9converter14ImageArtifactsV5fourK10Foundation3URLVvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:201:9,assignOnlyProperty
var.instance,threeK,,,internal,s:9converter14ImageArtifactsV6threeK10Foundation3URLVvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:202:9,assignOnlyProperty
var.instance,twoK,,,internal,s:9converter14ImageArtifactsV4twoK10Foundation3URLVvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:203:9,assignOnlyProperty
var.instance,source,,,internal,s:9converter14AudioArtifactsV6source10Foundation3URLVvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:227:9,assignOnlyProperty
var.instance,policy,,,internal,s:9converter13AudioQCResultV6policyAA0B8QCPolicyVvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/QualityReporting.swift:45:9,assignOnlyProperty
var.instance,fingerprint,,,internal,s:9converter22AudioSegmentQCCacheKeyV11fingerprintAA20FileProbeFingerprintVvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/QualityReporting.swift:65:9,assignOnlyProperty
var.instance,limitDurationMillis,,,internal,s:9converter22AudioSegmentQCCacheKeyV19limitDurationMilliss5Int64VSgvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/QualityReporting.swift:66:9,assignOnlyProperty
var.instance,sampleRate,,,internal,s:9converter22AudioSegmentQCCacheKeyV10sampleRateSivp,/Users/node4/Downloads/Converter/Converter/Sources/converter/QualityReporting.swift:67:9,assignOnlyProperty
var.instance,decode,,,internal,s:9converter22AudioSegmentQCCacheKeyV6decodeAA0bC6DecodeOvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/QualityReporting.swift:68:9,assignOnlyProperty
var.instance,policy,,,internal,s:9converter22AudioSegmentQCCacheKeyV6policyAA0B8QCPolicyVvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/QualityReporting.swift:69:9,assignOnlyProperty
var.instance,headerOffset,,,internal,s:9converter9RIFFChunkV12headerOffsets6UInt64Vvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/RIFFChunkWalker.swift:9:9,assignOnlyProperty
var.instance,payloadSize,,,internal,s:9converter9RIFFChunkV11payloadSizes6UInt64Vvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/RIFFChunkWalker.swift:11:9,assignOnlyProperty
var.instance,container,,,internal,s:9converter15RIFFChunkWalkerV9containerSSvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/RIFFChunkWalker.swift:35:9,assignOnlyProperty
