Kind,Name,Modifiers,Attributes,Accessibility,IDs,Location,Hints
var.instance,broken,,,internal,s:14converterTests019PipelineIntegrationB0C18GarbageMiddleBatch33_638F5F03424EBE59E0B334EE7FFF63E5LLV6broken10Foundation3URLVvp,/Users/node4/Downloads/Converter/Converter/Sources/Tests/converterTests/PipelineIntegrationTests.swift:3245:13,assignOnlyProperty
var.parameter,tool,,,internal,param-tool-loudnessFallbackResult(tool:policy:truePeakDBTP:peakLevelDBFS:)-s:14converterTestsAAC22loudnessFallbackResult33_BFFA85A39509659B2A4E18D822750E5DLL4tool6policy12truePeakDBTP13peakLevelDBFS0A013AudioQCResultVAI13ConverterToolC_AI0U8QCPolicyVS2dtKF,/Users/node4/Downloads/Converter/Converter/Sources/Tests/converterTests/converterTests.swift:1024:9,unused
function.method.instance,rankedFullRunImageCandidates(),,,internal,s:9converter13ConverterToolC28rankedFullRunImageCandidatesSay10Foundation3URLVGyKF,/Users/node4/Downloads/Converter/Converter/Sources/converter/Actions.swift:141:10,unused
var.instance,sourceIntegratedLUFS,,,internal,s:9converter22LoudnessStaticGainPlanV20sourceIntegratedLUFSSdvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/AudioPipeline.swift:19:9,assignOnlyProperty
var.instance,maxSafeBoostDB,,,internal,s:9converter22LoudnessStaticGainPlanV14maxSafeBoostDBSdvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/AudioPipeline.swift:22:9,assignOnlyProperty
var.parameter,filter,,,internal,param-filter-aipixResizeArguments(source:resizeHeight:width:height:sharpness:filter:colorSpace:compressionLevel:)-s:9converter13ConverterToolC20aipixResizeArguments031_94C061D0992F9A49A2BF2E2C4CE7B5K0LL6source12resizeHeight5width6height9sharpness6filter10colorSpace16compressionLevelSaySSG10Foundation3URLV_S3iSdS2SSitF,/Users/node4/Downloads/Converter/Converter/Sources/converter/ImagePipeline.swift:26:9,unused
var.parameter,colorSpace,,,internal,param-colorSpace-aipixResizeArguments(source:resizeHeight:width:height:sharpness:filter:colorSpace:compressionLevel:)-s:9converter13ConverterToolC20aipixResizeArguments031_94C061D0992F9A49A2BF2E2C4CE7B5K0LL6source12resizeHeight5width6height9sharpness6filter10colorSpace16compressionLevelSaySSG10Foundation3URLV_S3iSdS2SSitF,/Users/node4/Downloads/Converter/Converter/Sources/converter/ImagePipeline.swift:27:9,unused
var.instance,path,,,internal,s:9converter20FileProbeFingerprintV4pathSSvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:49:9,assignOnlyProperty
var.instance,sizeBytes,,,internal,s:9converter20FileProbeFingerprintV9sizeBytess6UInt64Vvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:50:9,assignOnlyProperty
var.instance,modifiedAtMicros,,,internal,s:9converter20FileProbeFingerprintV16modifiedAtMicross5Int64Vvp,/Users/node4/Downloads/Converter/Converter/Sources/converter/PipelineCore.swift:51:9,assignOnlyProperty
